0.73, 0.08, -0.55, 2.777, 83.252, 12.505, 275.93, 724.06, 30.68
0.79, 0.04, -0.42, 1.938, 70.114, 18.059, 261.78, 787.95, -61.36
0.93, 0.03, -0.22, -1.221, 83.351, 1.160, 249.40, 846.52, -144.87
0.88, 0.02, 0.05, -11.963, 103.691, 22.072, 249.40, 846.52, -144.87
0.82, -0.03, 0.29, -11.009, 72.998, 14.908, 226.41, 901.53, -293.15
0.82, -0.01, 0.49, 13.481, 96.787, 16.678, 196.34, 910.40, -427.80
0.70, -0.04, 0.42, 2.037, 48.965, 9.865, 192.80, 903.31, -567.56
0.81, -0.08, 0.70, -15.930, 52.818, 0.671, 160.96, 864.26, -642.55
0.41, -0.13, 0.45, 22.125, 106.445, -2.937, 171.57, 871.36, -693.68
0.48, 0.02, 0.78, 10.826, 67.230, -22.530, 171.57, 871.36, -693.68
0.34, 0.02, 0.82, 29.022, 65.819, -22.514, 222.87, 798.60, -801.06
0.34, 0.07, 0.86, 38.040, 34.119, 2.136, 242.33, 761.33, -867.53
0.28, 0.13, 0.94, -6.096, 17.326, 10.681, 263.55, 704.54, -908.44
0.29, 0.05, 0.91, -16.449, 27.344, 6.554, 242.33, 676.15, -928.89
0.05, 0.11, 0.97, -18.585, 50.034, -14.458, 233.48, 645.98, -968.09
-0.02, 0.06, 0.94, -9.850, 42.953, -10.139, 233.48, 645.98, -968.09
-0.21, 0.02, 0.90, -4.784, 55.328, -9.026, 235.25, 566.12, -1003.88
-0.17, 0.06, 1.01, 1.534, 60.661, -4.730, 238.79, 505.78, -1020.93
-0.28, 0.12, 1.05, -1.968, 97.252, 15.472, 251.17, 404.62, -1046.49
-0.40, 0.06, 0.96, -18.860, 83.656, -0.992, 233.48, 287.50, -1060.13
-0.62, 0.01, 0.92, -37.003, 120.079, 6.599, 203.41, 157.95, -1034.56
-0.77, -0.07, 0.83, -37.468, 96.382, 6.645, 203.41, 157.95, -1034.56
-0.84, -0.04, 0.75, -18.486, 95.940, -11.551, 166.27, 46.14, -1002.18
-0.94, -0.08, 0.61, -21.332, 103.882, 6.371, 141.50, -35.49, -934.00
-0.99, 0.02, 0.66, -37.392, 177.490, -6.516, 137.97, -113.58, -882.87
-1.06, 0.00, 0.34, -21.507, 185.249, 9.476, 145.04, -230.71, -709.02
-1.18, -0.04, 0.08, 3.365, 136.131, 13.504, 145.04, -230.71, -709.02
-1.08, 0.04, -0.08, -18.135, 32.860, 3.586, 152.12, -294.59, -548.81
-1.42, -0.02, -0.15, 8.194, -16.380, 19.577, 166.27, -308.79, -460.18
-1.26, 0.11, -0.29, 3.906, 65.598, 29.396, 187.49, -319.44, -443.14
-1.17, 0.03, -0.33, -12.779, 78.171, -7.759, 235.25, -299.92, -369.85
-1.10, 0.06, -0.47, -18.585, 66.727, -9.438, 229.95, -308.79, -248.84
-0.91, 0.06, -0.62, -41.077, 110.741, -30.380, 229.95, -308.79, -248.84
-0.83, 0.13, -0.75, -8.545, 66.536, 21.500, 210.49, -246.68, -127.83
-0.73, 0.12, -0.80, 0.847, 23.987, 16.350, 237.02, -195.21, -34.09
-0.77, 0.13, -0.82, 6.981, 26.665, 9.911, 265.32, -156.17, 23.86
-0.54, 0.11, -0.87, -9.453, 61.699, 21.095, 281.24, -115.35, 56.24
-0.44, 0.14, -0.97, 36.537, 85.098, -22.430, 295.39, -30.17, 134.65
-0.28, 0.12, -0.98, 7.584, 131.805, 0.740, 295.39, -30.17, 134.65
0.04, 0.08, -1.02, 11.490, 128.769, -3.815, 277.70, 108.25, 185.78
